id,label,League,lat,lng
1,Widzew _Æd_,Poland Ekstraklasa,51.7592,19.456
2,KAA Gent,Belgium Jupiler League,51.0543,3.7174
3,M_laga CF,Spain LIGA BBVA,36.7213,-4.4214
4,Sevilla FC,Spain LIGA BBVA,37.384,-5.9705
5,Hamburger SV,Germany 1. Bundesliga,53.5511,9.9937
6,Genoa,Italy Serie A,44.4056,8.9463
7,FC Sion,Switzerland Super League,46.2331,7.3606
8,VitÆria Set_bal,Portugal Liga ZON Sagres,38.5254,-8.8941
9,Torino,Italy Serie A,45.0703,7.6869
10,Sampdoria,Italy Serie A,44.4056,8.9463
11,FC Groningen,Netherlands Eredivisie,53.2194,6.5665
12,Palermo,Italy Serie A,38.1157,13.3613
13,TSG 1899 Hoffenheim,Germany 1. Bundesliga,49.2721,8.8409
14,West Ham United,England Premier League,51.538611,-0.016389
15,Naval 1_ de Maio,Portugal Liga ZON Sagres,40.1626,-8.8593
16,Tottenham Hotspur,England Premier League,51.556,-0.2795
17,Sparta Rotterdam,Netherlands Eredivisie,51.9244,4.4777
18,Wigan Athletic,England Premier League,53.5451,-2.6325
19,Motherwell,Scotland Premier League,55.7832,-3.9811
20,Rangers,Scotland Premier League,55.8642,-4.2518
21,Sunderland,England Premier League,54.9069,-1.3838
22,N.E.C.,Netherlands Eredivisie,51.8126,5.8372
23,VfL Bochum,Germany 1. Bundesliga,51.4818,7.2162
24,VitÆria Guimar_es,Portugal Liga ZON Sagres,41.4425,-8.2918
25,Rio Ave FC,Portugal Liga ZON Sagres,41.3517,-8.7479
26,Olympique de Marseille,France Ligue 1,43.2965,5.3698
27,Udinese,Italy Serie A,46.0711,13.2346
28,Girondins de Bordeaux,France Ligue 1,44.8378,-0.5792
29,Trofense,Portugal Liga ZON Sagres,41.339,-8.5595
30,Olympique Lyonnais,France Ligue 1,45.764,4.8357
31,Chievo Verona,Italy Serie A,45.4384,10.9916
32,Catania,Italy Serie A,37.5079,15.083
33,Karlsruher SC,Germany 1. Bundesliga,49.0069,8.4037
